FrameNum,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Coeff_0,Coeff_1,Coeff_2,Coeff_3,Coeff_4,Coeff_5,P1,P2,Time
124,247.2670621,206.3492186,230.6729286,274.8326764,204.9219364,257.9321616,7.21E-13,-1.99E-09,1.89E-06,-0.000525285,0.131068601,437.9523273,16.14533539,0,4.96
125,249.2568956,206.3492186,230.8527669,274.4922585,202.9408781,257.9321616,5.90E-13,-1.74E-09,1.71E-06,-0.000464207,0.123102427,438.0674854,17,0,5
126,248.3646513,207.3475343,230.4972885,275.786149,203.931361,255.0019608,4.90E-13,-1.48E-09,1.46E-06,-0.000350142,0.097099356,440.3748423,17.84129373,0,5.04
127,248.1632527,207.2920645,230.4972885,276.0887538,202.9408781,254.7881473,7.57E-13,-2.08E-09,2.01E-06,-0.000591933,0.143098123,436.957994,18,0,5.08
128,247.1679591,208.2906623,230.4972885,277.0415131,203.6663939,254.5780823,1.15E-12,-3.01E-09,2.84E-06,-0.000943107,0.211622249,432.1338391,19,0,5.12
129,248.1632527,208.2402459,230.4972885,278.2804341,201.8142711,255.0019608,1.15E-12,-2.96E-09,2.75E-06,-0.000881774,0.193431755,433.8104331,19,0,5.16
130,249.2568956,207.3475343,232.0193957,277.6508599,202.0915634,252.7449307,1.10E-12,-2.94E-09,2.84E-06,-0.000954746,0.220940973,430.7858582,20,0,5.2
131,249.3591787,205.3509192,234.1708778,280.5726287,200.4120755,252.4797022,1.42E-12,-3.72E-09,3.55E-06,-0.001243253,0.276491251,426.8169424,20.22921126,0,5.24
132,250.3537497,205.3509192,233.5743993,281.6025568,199.4241711,251.0338623,1.71E-12,-4.32E-09,3.99E-06,-0.001359739,0.285725774,427.121377,21,0,5.28
133,251.4537731,204.3526364,234.7530617,281.3698633,198.5950654,251.5432368,9.70E-13,-2.65E-09,2.56E-06,-0.000784909,0.179857627,434.4206805,21,0,5.32
134,251.4537731,204.413796,235.7328997,281.726818,198.5950654,248.6463352,1.30E-12,-3.33E-09,3.08E-06,-0.000952513,0.200959597,433.6176623,22,0,5.36
135,251.3483638,204.413796,234.9553149,283.9524608,197.6081982,248.6463352,1.48E-12,-3.81E-09,3.57E-06,-0.001191241,0.253568503,429.3849066,22.74921771,0,5.4
136,252.3430205,203.3543705,234.9553149,283.3813685,198.5950654,248.6463352,1.60E-12,-4.19E-09,4.00E-06,-0.001408408,0.303376783,425.3105646,23,0,5.44
137,251.3483638,204.3526364,236.1397891,283.7463656,197.6081982,247.9455585,1.19E-12,-3.20E-09,3.11E-06,-0.001034272,0.23131358,430.2778092,23,0,5.48
138,252.3430205,204.3526364,236.3493177,284.4855005,196.7866865,245.6013029,1.62E-12,-4.15E-09,3.91E-06,-0.001343526,0.28425595,427.1331775,24,0,5.52
139,253.4423011,202.4178846,236.562888,285.6168763,196.7866865,244.9203952,1.35E-12,-3.55E-09,3.38E-06,-0.00110512,0.236744348,430.5705977,24,0,5.56
140,254.4366326,201.4199593,238.2015953,285.4645337,196.9568481,244.5342512,1.43E-12,-3.75E-09,3.60E-06,-0.001203858,0.261084989,428.341059,25,0,5.6
141,254.6566316,202.4845673,238.2015953,284.9350803,195.1640336,244.167975,1.01E-12,-2.73E-09,2.63E-06,-0.000768243,0.172059388,434.972244,25,0,5.64
142,253.5507839,201.4199593,239.1756677,287.5621672,195.3458472,243.2138976,1.22E-12,-3.15E-09,2.96E-06,-0.000871064,0.18111898,435.2576058,25.80239543,0,5.68
143,254.5446916,201.4199593,238.2015953,287.5621672,194.1803286,242.9156232,1.57E-12,-4.05E-09,3.84E-06,-0.001275688,0.268025932,428.3552933,26,0,5.72
144,253.5507839,201.4199593,239.1756677,288.360885,194.9871791,241.9607406,1.43E-12,-3.73E-09,3.56E-06,-0.001175862,0.252720121,428.9768335,26,0,5.76
145,253.5507839,201.4869723,239.4034252,289.2766842,194.0025773,242.5633938,1.29E-12,-3.41E-09,3.29E-06,-0.001059986,0.230554692,430.4945495,27,0,5.8
146,253.5507839,201.4869723,240.3767876,289.1712296,193.1967909,241.611258,1.88E-12,-4.74E-09,4.42E-06,-0.001510886,0.313484911,425.0379009,27,0,5.84
147,254.5446916,200.4220547,240.6075643,288.2585645,193.380454,242.5633938,1.72E-12,-4.19E-09,3.77E-06,-0.001165168,0.233256891,431.4826095,27,0,5.88
148,254.6566316,201.4199593,240.6075643,288.2585645,193.380454,241.611258,1.62E-12,-4.11E-09,3.83E-06,-0.00124079,0.257949766,429.1537879,27,0,5.92
149,254.6566316,201.4869723,240.3767876,288.2585645,193.1967909,241.9194081,1.37E-12,-3.50E-09,3.27E-06,-0.000994476,0.204132758,433.739381,28,0,5.96
150,254.5446916,200.4220547,239.6351393,288.76461,194.3630623,241.611258,1.20E-12,-3.17E-09,3.06E-06,-0.000949162,0.206154515,432.6055063,28,0,6
151,254.5446916,201.4199593,239.4034252,288.76461,194.1803286,241.611258,1.81E-12,-4.60E-09,4.31E-06,-0.001462052,0.302875869,425.8772236,28,0,6.04
152,254.5446916,201.4199593,239.4034252,288.76461,194.1803286,241.3068586,1.26E-12,-3.34E-09,3.23E-06,-0.001033613,0.223123896,431.4723874,28,0,6.08
153,254.5446916,201.4199593,240.3767876,287.8506557,193.1967909,242.8703358,1.41E-12,-3.71E-09,3.57E-06,-0.001173656,0.249831897,429.5525377,29,0,6.12
154,254.5446916,201.4869723,239.6351393,289.1712296,193.1967909,241.611258,1.10E-12,-2.93E-09,2.84E-06,-0.000850144,0.184496388,434.3970102,29,0,6.16
155,255.7655176,201.4199593,239.6351393,288.2585645,193.380454,241.9194081,2.05E-12,-5.04E-09,4.60E-06,-0.00153939,0.310825628,425.7880355,29,0,6.2
